time,point
1577443978.510375, [  896.46812472  -730.36818426    456.56504561] 
1577443978.5453014, [  971.92328649  -357.61923275  -194.14565661] 
1577443978.585905, [  873.66658581  -273.14924602  -156.64516476] 
1577443978.6183598, [  905.85590905  -289.79563582  -166.50996287] 
1577443978.6507335, [  893.74560105  -777.22095262    571.34182068] 
1577443978.684796, [  941.83737999  -329.06037804  -192.77745862] 
1577443978.7178612, [  964.43654727  -342.20332706  -199.08553373] 
1577443978.7500436, [  934.60143778  -319.82530825  -191.40333621] 
1577443979.0617146, [  946.42465141  -326.45013559  -194.38523819] 
1577443979.4296944, [  918.87381716  -287.30926782  -178.44645741] 
1577443979.7714212, [1046.71041073  -619.03508086    473.5028101  ] 
1577443980.1254847, [1277.08884818  -666.62204927    409.93270337] 
1577443980.5957706, [1301.53569002  -549.04109562    450.85862915] 
1577443981.0551658, [1519.78787041  -966.1302551      523.87123636] 
1577443981.4110725, [  1555.54925257  -1020.29992666      401.44037454] 
1577443982.0324147, [1492.69441744  -891.8021801      377.64172754] 
1577443982.3758562, [  1632.38317146  -1015.5875703        358.40032617] 
1577443982.7875292, [1640.73174168  -942.34439811    230.53119992] 
1577443984.4247987, [1946.96842428  -852.09255132      29.0816491  ] 
1577443984.761521, [1775.39260576  -897.31558311    314.16893504] 
1577443985.0936692, [1674.55556226  -901.05529962    582.48323307] 
1577443985.424923, [1665.52938128  -952.22509145    576.64926725] 
1577443986.487082, [  1533.02583008  -1003.76613532      450.66740141] 
1577443986.8306656, [1605.67084584      18.77456917    225.71184085] 
1577443987.6195548, [1362.01277388    185.40288444    -53.54781456] 
1577443987.684656, [1329.97304829    264.13819716  -115.77449693] 
1577443987.749463, [1296.47502007    258.08797365    -61.60419547] 
1577443987.7812712, [1287.48576552    236.26722213  -124.9433774  ] 
1577443987.8137398, [1285.7533745      282.19414483  -113.13953812] 
1577443987.8456643, [1251.05618479    233.45619908  -124.13742614] 
1577443987.8788307, [1256.88802898    284.21633703  -106.2533896  ] 
1577443987.9421122, [1239.27570388    283.85212897  -125.30260467] 
1577443987.9761422, [1233.70262613    294.20423929  -146.30712286] 
1577443988.0081577, [1238.10594855    294.26028371  -102.12480778] 
1577443988.0412498, [1538.03761141  -997.75394232    439.53331556] 
1577443988.3563013, [  1550.85686745  -1024.36971084      429.21392249] 
1577443988.6686537, [1489.47246294  -873.42225476    416.99788678] 
1577443988.9913254, [1415.8195441    -615.89088878    -79.65710064] 
1577443989.3239698, [1256.29873389  -498.67309451  -172.53280224] 
1577443989.6720672, [1510.39635636  -681.01538375    -94.32717406] 
1577443990.0066414, [1477.03992929  -999.80624011    359.89345355] 
1577443990.3517113, [1527.67200707  -798.02528819    -52.28381231] 
1577443990.7685158, [1475.69821225  -982.12259318    357.13292464] 
1577443991.1993592, [1459.13438294  -874.55527707    275.38602519] 
1577443991.5502443, [1489.95451213  -926.89395765    489.77480228] 
1577443991.9105587, [1558.68889642  -765.95459396        2.55847932] 
1577443992.285007, [1432.72984486  -956.66189569    432.86717392] 
1577443992.8515196, [1383.79191945  -907.02787437    448.80313759] 
